isoform,n_train,n_test,accuracy,f1,mcc,roc_auc
CYP3A4,2688,896,0.8024553571428571,0.36101083032490977,0.29296624671745375,0.7930563291374253
CYP3A4,2688,896,0.7834821428571429,0.3576158940397351,0.25095151694577567,0.7897293082321487
CYP3A4,2688,896,0.796875,0.3591549295774648,0.2785525203575664,0.8001262485611377
CYP3A4,2688,896,0.8002232142857143,0.35842293906810035,0.28607220989460314,0.8289926107459805
CYP3A4,2688,896,0.7767857142857143,0.3103448275862069,0.2077203048819484,0.7713192974638892
CYP3A4,2688,896,0.7935267857142857,0.3462897526501767,0.26384609219270333,0.7977498050573689
CYP3A4,2688,896,0.7957589285714286,0.3487544483985765,0.27029555505816466,0.8051093535331032
CYP3A4,2688,896,0.7991071428571429,0.35714285714285715,0.2826945298381443,0.7935687497679255
CYP3A4,2688,896,0.8013392857142857,0.3308270676691729,0.2756404601146804,0.7862908915376331
CYP3A4,2688,896,0.7901785714285714,0.2932330827067669,0.22644052141936313,0.7967992276558613
CYP2D6,1122,375,0.784,0.10989010989010989,0.1142317949199131,0.54572940287226
CYP2D6,1122,375,0.7786666666666666,0.10752688172043011,0.0886599822724551,0.626018308557991
CYP2D6,1122,375,0.7573333333333333,0.061855670103092786,-0.014620853318183682,0.5518182581674644
CYP2D6,1122,375,0.7706666666666667,0.06521739130434782,0.023963632368580786,0.5262870580330898
CYP2D6,1122,375,0.7813333333333333,0.1276595744680851,0.11307120340405283,0.5910388846896782
CYP2D6,1122,375,0.7733333333333333,0.10526315789473684,0.06754363269209288,0.5574452003023431
CYP2D6,1122,375,0.768,0.02247191011235955,-0.03264889196177441,0.5492987318384144
CYP2D6,1122,375,0.776,0.045454545454545456,0.023364795581758926,0.5615604266397917
CYP2D6,1122,375,0.7866666666666666,0.1111111111111111,0.1293917675512335,0.5107919711094314
CYP2D6,1122,375,0.7733333333333333,0.06593406593406594,0.033786868919974296,0.5394725791551189
